rating,reviewer_name,reviewer_name_normalized,review_text,review_text_normalized,review_date,review_date_normalized,variant,variant_normalized,rating_filter,scraped_at
5,D***s,D s,barang aman sampai tujuan. masih segel dan dpt keyboard. sayang ga dapat mouse dan pen,barang aman sampai tujuan masih segel dan dpt keyboard sayang ga dapat mouse dan pen,4 bulan lalu,4 bulan lalu,Violet,Violet,5,2025-07-15 20:11:22
5,T***I,T I,"Barang bagus dan tersegel, fast respon, tapi mengapa tak de pensil bonusnya ya. Mana di storenya kosong.",barang bagus dan tersegel fast respon tapi mengapa tak de pensil bonusnya ya mana di storenya kosong,7 bulan lalu,7 bulan lalu,Spcae Grey+EWS,Spcae Grey EWS,5,2025-07-15 20:11:22
5,Aldi,Aldi,produk original dan semua berfungsi dengan baik. PO tidak sampai 11 hari sudah terkirim. mantap,produk original dan semua berfungsi dengan baik po tidak sampai hari sudah terkirim mantap,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,5,2025-07-15 20:11:22
5,Heru,Heru,"Tablet yang bonusnya melimpah, ada huawei m pencil gen 3, ada official keyboard case, dan ada huawei wireless mousenya. Cocok dibeli saat masa pre order. Adanya Go Paint...",tablet yang bonusnya melimpah ada huawei m pencil gen ada official keyboard case dan ada huawei wireless mousenya cocok dibeli saat masa pre order adanya go paint,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,5,2025-07-15 20:11:23
5,Richardo,Richardo,Sempat kuatir dengan kondisi kardus Coklat yg penyok dan Kardus Tabletnya yang warna putih. tetapi setelah dicek kondisi Tablet dalam kondisi baik. mohon di perhatikan k...,sempat kuatir dengan kondisi kardus coklat yg penyok dan kardus tabletnya yang warna putih tetapi setelah dicek kondisi tablet dalam kondisi baik mohon di perhatikan k,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Violet + EWS,Violet EWS,5,2025-07-15 20:11:23
5,Luna,Luna,barang tersegel dengan rapi walaupun kardus luar penyok. Alhamdulillah laptop aman .warna purple nya cantik banget. berfungsi dengan baik.pokoknya puas belanja disini.ter...,barang tersegel dengan rapi walaupun kardus luar penyok alhamdulillah laptop aman warna purple nya cantik banget berfungsi dengan baik pokoknya puas belanja disini ter,8 bulan lalu,8 bulan lalu,Violet,Violet,5,2025-07-15 20:11:23
5,M***d,M d,Barangnya Bagus Seller Ramah dan Responsive Packing Aman Semuanya Oke,barangnya bagus seller ramah dan responsive packing aman semuanya oke,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,5,2025-07-15 20:11:23
5,A***a,A a,"Dapat harga gooddeal pas 10.10. Udah ngincer lumayan lama, pas tau diskonnya lumayan lngsg gas checkout. So far ini tab paling value for money buat saat ini, udh complete...",dapat harga gooddeal pas udah ngincer lumayan lama pas tau diskonnya lumayan lngsg gas checkout so far ini tab paling value for money buat saat ini udh complete,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,5,2025-07-15 20:11:23
5,Fachry,Fachry,barang sudah sampai. pengiriman cepat. aman terkendali. free nya hanya keyboard saja. tanpa ada mouse dan mpensil.. musti beli terpisah sih. agak repot jadinya.. beli...,barang sudah sampai pengiriman cepat aman terkendali free nya hanya keyboard saja tanpa ada mouse dan mpensil musti beli terpisah sih agak repot jadinya beli,4 minggu lalu,4 minggu lalu,Spcae Grey+EWS,Spcae Grey EWS,5,2025-07-15 20:11:33
5,D***z,D z,"Seller ramah dan infrormatif juga fast respon, thank you",seller ramah dan infrormatif juga fast respon thank you,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Violet,Violet,5,2025-07-15 20:11:33
5,Kristanto,Kristanto,"Barang Bagus, Semoga Awet pemakaian nya dan tidak ada kendala ke depannya",barang bagus semoga awet pemakaian nya dan tidak ada kendala ke depannya,8 bulan lalu,8 bulan lalu,Spcae Grey+EWS,Spcae Grey EWS,5,2025-07-15 20:11:33
5,Saiful,Saiful,"Barang sampai dengan aman, selamat, dan cepat. Sudah pasti ori dan berfungsi dengan baik. Kualitas layar yang nyaman di mata, semoga bisa meningkatkan produktivitas",barang sampai dengan aman selamat dan cepat sudah pasti ori dan berfungsi dengan baik kualitas layar yang nyaman di mata semoga bisa meningkatkan produktivitas,9 bulan lalu,9 bulan lalu,Violet + EWS,Violet EWS,5,2025-07-15 20:11:33
5,D***y,D y,"produk terjamin ori, admin sangat responsif. sejauh ini sudah di tes 2 hari oke no prob.. namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m-pen han...",produk terjamin ori admin sangat responsif sejauh ini sudah di tes hari oke no prob namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m pen han,7 bulan lalu,7 bulan lalu,Violet,Violet,5,2025-07-15 20:11:33
